order_id,customer_id,product_name,category,quantity,unit_price,total_amount,rating
1001,C001,Wireless Mouse,Electronics,2,799.5,1599.0,4.5
1002,C002,Water Bottle,Home,1,349.0,349.0,4.0
1003,C003,Notebook,Stationery,5,99.0,495.0,4.2
1004,C001,USB Keyboard,Electronics,1,1299.0,1299.0,4.6
1005,C004,Office Chair,Furniture,1,5499.0,5499.0,4.8
1006,C005,LED Desk Lamp,Home,2,899.0,1798.0,4.3
1007,C002,Backpack,Accessories,1,1999.0,1999.0,4.4
1008,C006,Smartphone Stand,Electronics,3,299.0,897.0,4.1
1009,C007,Coffee Mug,Home,4,249.0,996.0,4.0
1010,C003,Pen Set,Stationery,2,199.0,398.0,4.2
1011,C008,Headphones,Electronics,1,2999.0,2999.0,4.7
1012,C009,Table Fan,Home,1,2299.0,2299.0,4.5
1013,C010,Monitor 24inch,Electronics,1,12499.0,12499.0,4.8
1014,C004,Foot Rest,Furniture,1,1499.0,1499.0,4.1
1015,C005,Lunch Box,Home,2,499.0,998.0,4.3
1016,C011,Wireless Charger,Electronics,1,1299.0,1299.0,4.6
1017,C012,Desk Organizer,Stationery,1,699.0,699.0,4.2
1018,C006,Power Bank,Electronics,2,1999.0,3998.0,4.5
1019,C013,Water Purifier,Home,1,8999.0,8999.0,4.7
1020,C014,Ergonomic Mouse Pad,Accessories,3,299.0,897.0,4.4
